Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
183,0,0.014001,-0.129597,-1.806939,263.259552,-507.75589,180.808334
184,0,0.014001,-0.129076,-1.807329,263.267365,-507.757538,180.812943
185,0,0.014144,-0.129232,-1.807024,263.279602,-507.773987,180.809204
186,0,0.013936,-0.129196,-1.807036,263.284943,-507.776611,180.808212
187,0,0.014046,-0.129227,-1.807076,263.292542,-507.783051,180.803741
188,0,0.014287,-0.128947,-1.807359,263.294861,-507.799377,180.797394
189,0,0.013964,-0.128162,-1.807704,263.28241,-507.817627,180.79184
190,0,0.014615,-0.128439,-1.807258,263.282806,-507.8479,180.794876
191,0,0.014944,-0.127832,-1.807771,263.274628,-507.862976,180.798691
192,0,0.01531,-0.128189,-1.807135,263.272766,-507.875732,180.796783
193,0,0.015405,-0.127586,-1.807224,263.265076,-507.9021,180.787872
194,0,0.015859,-0.127372,-1.806937,263.256531,-507.913879,180.792313
195,0,0.016459,-0.12762,-1.806717,263.246613,-507.943451,180.784088
196,0,0.016635,-0.127349,-1.807184,263.232178,-507.976715,180.792175
197,0,0.016916,-0.127077,-1.80677,263.206329,-508.00116,180.781021
198,0,0.017306,-0.12713,-1.806838,263.188446,-508.020752,180.790512
199,0,0.01762,-0.127005,-1.80634,263.17337,-508.044312,180.788223
200,0,0.018262,-0.126825,-1.806762,263.161316,-508.053711,180.789474
201,0,0.01895,-0.126826,-1.807162,263.13327,-508.080658,180.781204
202,0,0.01948,-0.126784,-1.807216,263.120911,-508.098602,180.77713
203,0,0.019506,-0.126571,-1.806735,263.105164,-508.117859,180.782806
204,0,0.01967,-0.126456,-1.806548,263.07901,-508.12674,180.782852
205,0,0.019926,-0.126285,-1.806708,263.050507,-508.133575,180.777557
206,0,0.020889,-0.126579,-1.807227,263.044678,-508.134827,180.783188
207,0,0.020755,-0.126594,-1.807264,263.031647,-508.144989,180.778214
208,0,0.020823,-0.1269,-1.807148,263.025604,-508.153076,180.789215
209,0,0.021175,-0.1273,-1.807081,263.001221,-508.164062,180.785294
210,0,0.021573,-0.127108,-1.807132,262.975555,-508.15506,180.774811
211,0,0.021332,-0.127312,-1.806713,262.973724,-508.154144,180.790405
212,0,0.021308,-0.127323,-1.806956,262.959961,-508.136444,180.794601
